Printed on: 2013-10-8 13:10:33 
Date	Part number	Serial number	Status	Wave.	Fiber	IL	Refl.	IL A	Refl.A	IL B	Refl.B 
2013-10-7 11:13:12	MPO-MPO(APC)	2133800371-1	Passed	850nm	8	n/a	n/a	0.03	-39.2	n/a	n/a
2013-10-7 11:13:12	MPO-MPO(APC)	2133800371-1	Passed	850nm	9	n/a	n/a	0.04	-40.6	n/a	n/a
2013-10-7 11:13:12	MPO-MPO(APC)	2133800371-1	Passed	850nm	10	n/a	n/a	0.05	-40.8	n/a	n/a
2013-10-7 11:13:12	MPO-MPO(APC)	2133800371-1	Passed	850nm	11	n/a	n/a	0.04	-37.2	n/a	n/a
2013-10-7 11:13:12	MPO-MPO(APC)	2133800371-1	Passed	850nm	12	n/a	n/a	0.05	-37.6	n/a	n/a
2013-10-7 11:13:12	MPO-MPO(APC)	2133800371-1	Passed	1300nm	1	n/a	n/a	0.18	-42.0	n/a	n/a
2013-10-7 11:13:12	MPO-MPO(APC)	2133800371-1	Passed	1300nm	2	n/a	n/a	0.08	-40.6	n/a	n/a
2013-10-7 11:13:12	MPO-MPO(APC)	2133800371-1	Passed	1300nm	3	n/a	n/a	0.16	-41.8	n/a	n/a
2013-10-7 11:13:12	MPO-MPO(APC)	2133800371-1	Passed	1300nm	4	n/a	n/a	0.17	-41.7	n/a	n/a
2013-10-7 11:13:12	MPO-MPO(APC)	2133800371-1	Passed	1300nm	5	n/a	n/a	0.11	-39.2	n/a	n/a
2013-10-7 11:13:12	MPO-MPO(APC)	2133800371-1	Passed	1300nm	6	n/a	n/a	0.12	-41.0	n/a	n/a
2013-10-7 11:13:12	MPO-MPO(APC)	2133800371-1	Passed	1300nm	7	n/a	n/a	0.13	-40.9	n/a	n/a
2013-10-7 11:13:12	MPO-MPO(APC)	2133800371-1	Passed	1300nm	8	n/a	n/a	0.16	-41.9	n/a	n/a
2013-10-7 11:13:12	MPO-MPO(APC)	2133800371-1	Passed	1300nm	9	n/a	n/a	0.17	-40.6	n/a	n/a
2013-10-7 11:13:12	MPO-MPO(APC)	2133800371-1	Passed	1300nm	10	n/a	n/a	0.13	-41.8	n/a	n/a
2013-10-7 11:13:12	MPO-MPO(APC)	2133800371-1	Passed	1300nm	11	n/a	n/a	0.08	-40.1	n/a	n/a
2013-10-7 11:13:12	MPO-MPO(APC)	2133800371-1	Passed	1300nm	12	n/a	n/a	0.15	-40.5	n/a	n/a
2013-10-7 11:15:25	MPO-MPO(APC)	2133800371-4	Passed	850nm	1	n/a	n/a	0.12	-40.3	n/a	n/a2013-10-7 11:15:25	MPO-MPO(APC)	2133800371-4	Passed	850nm	2	n/a	n/a	0.08	-41.0	n/a	n/a
2013-10-7 11:15:25	MPO-MPO(APC)	2133800371-4	Passed	850nm	3	n/a	n/a	0.06	-40.4	n/a	n/a
2013-10-7 11:15:25	MPO-MPO(APC)	2133800371-4	Passed	850nm	4	n/a	n/a	0.09	-41.8	n/a	n/a
2013-10-7 11:15:25	MPO-MPO(APC)	2133800371-4	Passed	850nm	5	n/a	n/a	0.07	-39.7	n/a	n/a
2013-10-7 11:15:25	MPO-MPO(APC)	2133800371-4	Passed	850nm	6	n/a	n/a	0.09	-41.7	n/a	n/a
2013-10-7 11:15:25	MPO-MPO(APC)	2133800371-4	Passed	850nm	7	n/a	n/a	0.12	-39.3	n/a	n/a
2013-10-7 11:15:25	MPO-MPO(APC)	2133800371-4	Passed	850nm	8	n/a	n/a	0.06	-39.6	n/a	n/a
2013-10-7 11:15:25	MPO-MPO(APC)	2133800371-4	Passed	850nm	9	n/a	n/a	0.11	-39.5	n/a	n/a
2013-10-7 11:15:25	MPO-MPO(APC)	2133800371-4	Passed	850nm	10	n/a	n/a	0.07	-40.8	n/a	n/a
2013-10-7 11:15:25	MPO-MPO(APC)	2133800371-4	Passed	850nm	11	n/a	n/a	0.04	-37.3	n/a	n/a
2013-10-7 11:15:25	MPO-MPO(APC)	2133800371-4	Passed	850nm	12	n/a	n/a	0.04	-39.6	n/a	n/a
2013-10-7 11:15:25	MPO-MPO(APC)	2133800371-4	Passed	1300nm	1	n/a	n/a	0.20	-41.7	n/a	n/a
2013-10-7 11:15:25	MPO-MPO(APC)	2133800371-4	Passed	1300nm	2	n/a	n/a	0.12	-41.7	n/a	n/a
2013-10-7 11:15:25	MPO-MPO(APC)	2133800371-4	Passed	1300nm	3	n/a	n/a	0.16	-41.5	n/a	n/a
2013-10-7 11:15:25	MPO-MPO(APC)	2133800371-4	Passed	1300nm	4	n/a	n/a	0.23	-42.3	n/a	n/a
2013-10-7 11:15:25	MPO-MPO(APC)	2133800371-4	Passed	1300nm	5	n/a	n/a	0.22	-39.8	n/a	n/a
2013-10-7 11:15:25	MPO-MPO(APC)	2133800371-4	Passed	1300nm	6	n/a	n/a	0.23	-41.7	n/a	n/a
2013-10-7 11:15:25	MPO-MPO(APC)	2133800371-4	Passed	1300nm	7	n/a	n/a	0.28	-40.5	n/a	n/a
2013-10-7 11:15:25	MPO-MPO(APC)	2133800371-4	Passed	1300nm	8	n/a	n/a	0.14	-41.7	n/a	n/a
2013-10-7 11:15:25	MPO-MPO(APC)	2133800371-4	Passed	1300nm	9	n/a	n/a	0.29	-40.8	n/a	n/a
2013-10-7 11:15:25	MPO-MPO(APC)	2133800371-4	Passed	1300nm	10	n/a	n/a	0.17	-41.6	n/a	n/a
2013-10-7 11:15:25	MPO-MPO(APC)	2133800371-4	Passed	1300nm	11	n/a	n/a	0.07	-41.1	n/a	n/a
2013-10-7 11:15:25	MPO-MPO(APC)	2133800371-4	Passed	1300nm	12	n/a	n/a	0.16	-40.1	n/a	n/a
2013-10-7 12:50:04	MPO-MPO(APC)	2133800371-3	Passed	850nm	1	n/a	n/a	0.27	-41.5	n/a	n/a
2013-10-7 12:50:04	MPO-MPO(APC)	2133800371-3	Passed	850nm	2	n/a	n/a	0.26	-42.4	n/a	n/a
2013-10-7 12:50:04	MPO-MPO(APC)	2133800371-3	Passed	850nm	3	n/a	n/a	-0.22	-39.1	n/a	n/a
2013-10-7 12:50:04	MPO-MPO(APC)	2133800371-3	Passed	850nm	4	n/a	n/a	-0.26	-41.2	n/a	n/a
2013-10-7 12:50:04	MPO-MPO(APC)	2133800371-3	Passed	850nm	5	n/a	n/a	0.12	-40.1	n/a	n/a
2013-10-7 12:50:04	MPO-MPO(APC)	2133800371-3	Passed	850nm	6	n/a	n/a	0.14	-41.4	n/a	n/a
2013-10-7 12:50:04	MPO-MPO(APC)	2133800371-3	Passed	850nm	7	n/a	n/a	0.06	-40.0	n/a	n/a
2013-10-7 12:50:04	MPO-MPO(APC)	2133800371-3	Passed	850nm	8	n/a	n/a	0.19	-40.8	n/a	n/a
2013-10-7 12:50:04	MPO-MPO(APC)	2133800371-3	Passed	850nm	9	n/a	n/a	0.05	-41.7	n/a	n/a2013-10-7 12:50:04	MPO-MPO(APC)	2133800371-3	Passed	850nm	10	n/a	n/a	-0.13	-39.0	n/a	n/a
2013-10-7 12:50:04	MPO-MPO(APC)	2133800371-3	Passed	850nm	11	n/a	n/a	0.31	-41.3	n/a	n/a
2013-10-7 12:50:04	MPO-MPO(APC)	2133800371-3	Passed	850nm	12	n/a	n/a	-0.11	-41.3	n/a	n/a
2013-10-7 12:50:04	MPO-MPO(APC)	2133800371-3	Passed	1300nm	1	n/a	n/a	0.25	-43.3	n/a	n/a
2013-10-7 12:50:04	MPO-MPO(APC)	2133800371-3	Passed	1300nm	2	n/a	n/a	-0.06	-41.4	n/a	n/a
2013-10-7 12:50:04	MPO-MPO(APC)	2133800371-3	Passed	1300nm	3	n/a	n/a	0.11	-41.6	n/a	n/a
2013-10-7 12:50:04	MPO-MPO(APC)	2133800371-3	Passed	1300nm	4	n/a	n/a	0.55	-41.5	n/a	n/a
2013-10-7 12:50:04	MPO-MPO(APC)	2133800371-3	Passed	1300nm	5	n/a	n/a	0.61	-41.2	n/a	n/a
2013-10-7 12:50:04	MPO-MPO(APC)	2133800371-3	Passed	1300nm	6	n/a	n/a	0.42	-41.5	n/a	n/a
2013-10-7 12:50:04	MPO-MPO(APC)	2133800371-3	Passed	1300nm	7	n/a	n/a	-0.04	-41.2	n/a	n/a
2013-10-7 12:50:04	MPO-MPO(APC)	2133800371-3	Passed	1300nm	8	n/a	n/a	-0.04	-43.1	n/a	n/a
2013-10-7 12:50:04	MPO-MPO(APC)	2133800371-3	Passed	1300nm	9	n/a	n/a	0.14	-41.8	n/a	n/a
2013-10-7 12:50:04	MPO-MPO(APC)	2133800371-3	Passed	1300nm	10	n/a	n/a	0.26	-41.1	n/a	n/a
2013-10-7 12:50:04	MPO-MPO(APC)	2133800371-3	Passed	1300nm	11	n/a	n/a	0.07	-41.3	n/a	n/a
2013-10-7 12:50:04	MPO-MPO(APC)	2133800371-3	Passed	1300nm	12	n/a	n/a	0.19	-42.6	n/a	n/a
2013-10-7 12:52:49	MPO-MPO(APC)	2133800371-2	Passed	850nm	1	n/a	n/a	0.22	-41.4	n/a	n/a
2013-10-7 12:52:49	MPO-MPO(APC)	2133800371-2	Passed	850nm	2	n/a	n/a	0.17	-41.0	n/a	n/a
2013-10-7 12:52:49	MPO-MPO(APC)	2133800371-2	Passed	850nm	3	n/a	n/a	-0.19	-38.7	n/a	n/a
2013-10-7 12:52:49	MPO-MPO(APC)	2133800371-2	Passed	850nm	4	n/a	n/a	-0.16	-39.4	n/a	n/a
2013-10-7 12:52:49	MPO-MPO(APC)	2133800371-2	Passed	850nm	5	n/a	n/a	0.02	-41.8	n/a	n/a
2013-10-7 12:52:49	MPO-MPO(APC)	2133800371-2	Passed	850nm	6	n/a	n/a	0.06	-43.0	n/a	n/a
2013-10-7 12:52:49	MPO-MPO(APC)	2133800371-2	Passed	850nm	7	n/a	n/a	0.22	-41.6	n/a	n/a
2013-10-7 12:52:49	MPO-MPO(APC)	2133800371-2	Passed	850nm	8	n/a	n/a	0.13	-40.3	n/a	n/a
